Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
52,267,0.003,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
51.5,265,0.004,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
51,264,0.002,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
50.5,263,0.002,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
50,262,0.002,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
49.5,261,0.002,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
49,260,0.002,8,0.15,1,2,0.0064,0.1,0.01,0.35
48.5,258.5,0.003,8,0.15,1,2,0.0064,0.1,0.01,0.35
48,257,0.003,8,0.15,1,2,0.0064,0.1,0.01,0.35
47.5,256.5,0.001,8,0.15,1,2,0.0064,0.1,0.01,0.35
47,256,0.001,8,0.15,1,2,0.0064,0.1,0.01,0.35
46.5,255,0.001,8,0.15,1,2,0.0064,0.1,0.01,0.35
46,251,0.008,8,0.15,1,2,0.0064,0.1,0.01,0.35
45.5,250,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
45,249,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
44.5,248,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
44,247,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
43.5,246,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
43,245,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
42.5,244.5,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
42,244,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
41.5,243.5,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
41,243,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
40.5,242.5,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
40,242,0.001,8,0.15,0.045,2,0.0064,0.1,0.01,0.5
39.5,241,0.001,8,0.15,0.045,2,0.0064,0.1,0.01,0.5
39,240,0.002,5,2.075,0.05,2,0.0064,0.1,0.01,0.45
38.5,239,0.002,5,2.075,0.05,2,0.0064,0.1,0.01,0.45
38,238.6666667,0.0007,4,0.15,0.035,2,0.0064,0.1,0.01,0.35
37.5,238.3333333,0.0007,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37,238,0.0007,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
36.5,237.6666667,0.0007,6,0.75,1,2,0.0064,0.1,0.01,0.5
36,237.3333333,0.0007,6,0.75,1,2,0.0064,0.1,0.01,0.5
35.5,237,0.0007,6,0.75,1,2,0.0064,0.1,0.01,0.5
35,236,0.0007,6,0.75,1,2,0.0064,0.1,0.01,0.5
34.5,235,0.002,6,0.75,1,2,0.0064,0.1,0.01,0.5
34,231,0.008,6,0.75,1,2,0.0064,0.1,0.01,0.5
33.5,230.25,0.0015,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33,229.5,0.0015,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
32.5,228.75,0.0015,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
32,228,0.0015,12,0.15,1,2,0.0064,0.1,0.01,0.5
31.5,227.5,0.001,12,0.15,1,2,0.0064,0.1,0.01,0.5
31,227,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.5,226.5,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30,226,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29.5,225.5,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29,225,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
28.5,223.3333333,0.0033,14,0.15,1,2,0.0064,0.1,0.01,0.4
28,221.6666667,0.0033,14,0.15,1,2,0.0064,0.1,0.01,0.4
27.5,220,0.0033,14,0.15,1,2,0.0064,0.1,0.01,0.4
27,219,0.0033,25,0.5,1,2,0.0064,0.1,0.01,0.5
26.5,218.2,0.0016,14,0.15,0.1,2,0.0064,0.1,0.01,0.45
26,217.4,0.0016,14,0.15,0.1,2,0.0064,0.1,0.01,0.45
25.5,216.6,0.0016,14,0.15,0.1,2,0.0064,0.1,0.01,0.45
25,215.8,0.0016,18,0.15,1,2,0.0064,0.1,0.01,0.5
24.5,215,0.0016,18,0.15,1,2,0.0064,0.1,0.01,0.5
24,214,0.0016,18,0.15,1,2,0.0064,0.1,0.01,0.5
23.5,213.6666667,0.0007,18,0.15,1,2,0.0064,0.1,0.01,0.5
23,213.3333333,0.0007,11,0.15,0.035,2,0.0064,0.1,0.01,0.5
22.5,213,0.0007,11,0.15,0.035,2,0.0064,0.1,0.01,0.5
22,212,0.002,11,0.15,0.035,2,0.0064,0.1,0.01,0.5
21.5,211,0.002,6,0.15,0.03,2,0.0064,0.1,0.01,0.5
21,210,0.002,6,0.15,0.03,2,0.0064,0.1,0.01,0.5
20.5,209,0.002,6,0.15,0.03,2,0.0064,0.1,0.01,0.5
20,208.3333333,0.0013,4,0.15,0.04,2,0.0064,0.1,0.01,0.45
19.5,207.6666667,0.0013,4,0.15,0.04,2,0.0064,0.1,0.01,0.45
19,207,0.0013,4,0.15,0.04,2,0.0064,0.1,0.01,0.45
18.5,206.3333333,0.0013,4,0.15,0.04,2,0.0064,0.1,0.01,0.45
18,205.6666667,0.0013,15,0.15,0.04,2,0.0064,0.1,0.01,0.45
17.5,205,0.0013,15,0.15,0.04,2,0.0064,0.1,0.01,0.45
17,204,0.0013,15,0.5,1,2,0.0064,0.1,0.01,0.5
