Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
52,269,0.003,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
51.5,267,0.004,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
51,266,0.002,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
50.5,265,0.002,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
50,264,0.002,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
49.5,263,0.002,10,0.15,0.045,2,0.0064,0.1,0.01,0.4
49,262,0.002,8,0.15,1,2,0.0064,0.1,0.01,0.35
48.5,260.5,0.003,8,0.15,1,2,0.0064,0.1,0.01,0.35
48,259,0.003,8,0.15,1,2,0.0064,0.1,0.01,0.35
47.5,258.5,0.001,8,0.15,1,2,0.0064,0.1,0.01,0.35
47,258,0.001,8,0.15,1,2,0.0064,0.1,0.01,0.35
46.5,257,0.001,8,0.15,1,2,0.0064,0.1,0.01,0.35
46,253,0.008,8,0.15,1,2,0.0064,0.1,0.01,0.35
45.5,252,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
45,251,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
44.5,250,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
44,249,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
43.5,248,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
43,247,0.002,6,0.325,0.04,2,0.0064,0.1,0.01,0.35
42.5,246.5,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
42,246,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
41.5,245.5,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
41,245,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
40.5,244.5,0.001,3,1.15,0.1,2,0.0064,0.1,0.01,0.5
40,244,0.001,8,0.15,0.045,2,0.0064,0.1,0.01,0.5
39.5,243,0.001,8,0.15,0.045,2,0.0064,0.1,0.01,0.5
39,242,0.002,5,2.075,0.05,2,0.0064,0.1,0.01,0.45
38.5,241,0.002,5,2.075,0.05,2,0.0064,0.1,0.01,0.45
38,240.6666667,0.0007,4,0.15,0.035,2,0.0064,0.1,0.01,0.35
37.5,240.3333333,0.0007,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
37,240,0.0007,2,0.325,0.1,2,0.0064,0.1,0.01,0.45
36.5,239.6666667,0.0007,6,0.75,1,2,0.0064,0.1,0.01,0.5
36,239.3333333,0.0007,6,0.75,1,2,0.0064,0.1,0.01,0.5
35.5,239,0.0007,6,0.75,1,2,0.0064,0.1,0.01,0.5
35,238,0.0007,6,0.75,1,2,0.0064,0.1,0.01,0.5
34.5,237,0.002,6,0.75,1,2,0.0064,0.1,0.01,0.5
34,233,0.008,6,0.75,1,2,0.0064,0.1,0.01,0.5
33.5,232.25,0.0015,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
33,231.5,0.0015,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
32.5,230.75,0.0015,12,0.15,0.035,2,0.0064,0.1,0.01,0.5
32,230,0.0015,12,0.15,1,2,0.0064,0.1,0.01,0.5
31.5,229.5,0.001,12,0.15,1,2,0.0064,0.1,0.01,0.5
31,229,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30.5,228.5,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
30,228,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
