Land Cover Name,Code,Height (m),Density (0-1),Overhang (m)
garden_leisure_h5-10_d1_OH0,205,13,0.01,0
garden_leisure_h5-10_d2_OH0,206,13,0.02,0
garden_leisure_h5-10_d2_OH0-0.5,207,13,0.02,0.5
garden_leisure_h5-10_d2_OH1-2.5,208,13,0.02,1.8
garden_leisure_h5-10_d3_OH0,209,13,0.03,0
garden_leisure_h5-10_d4_OH0,210,13,0.04,0
garden_leisure_h5-10_d4_OH0-0.5,211,13,0.04,0.5
garden_leisure_h5-10_d5_OH0,212,13,0.05,0
riparian vegetation_h>2_d5_OH0,213,7.5,0.9,0
riparian vegetation_h0-1_d5_OH0,214,5.5,0.9,0
riparian vegetation_h0-5_d1_OH0,215,9,0.03,0
riparian vegetation_h0-5_d1_OH0-0.5,216,9,0.03,0.5
riparian vegetation_h0-5_d1_OH1-2.5,217,9,0.03,1.8
riparian vegetation_h0-5_d2_OH0,218,9,0.2,0
riparian vegetation_h0-5_d2_OH0-0.5,219,9,0.2,0.5
riparian vegetation_h0-5_d2_OH1-2.5,220,9,0.2,1.8
riparian vegetation_h0-5_d3_OH0,221,9,0.5,0
riparian vegetation_h0-5_d3_OH0-0.5,222,9,0.5,0.5
riparian vegetation_h0-5_d3_OH1-2.5,223,9,0.5,1.8
riparian vegetation_h0-5_d4_OH0,224,9,0.7,0
riparian vegetation_h0-5_d4_OH0-0.5,225,9,0.7,0.5
riparian vegetation_h0-5_d4_OH1-2.5,226,9,0.7,1.8
riparian vegetation_h0-5_d5_OH0,227,9,0.9,0
riparian vegetation_h0-5_d5_OH0-0.5,228,9,0.9,0.5
riparian vegetation_h0-5_d5_OH1-2.5,229,9,0.9,1.8
riparian vegetation_h10-20_d1_OH0,230,20,0.03,0
riparian vegetation_h10-20_d2_OH0,231,20,0.2,0
riparian vegetation_h10-20_d2_OH0-0.5,232,20,0.2,0.5
riparian vegetation_h10-20_d2_OH1-2.5,233,20,0.2,1.8
riparian vegetation_h10-20_d3_OH0,234,20,0.5,0
riparian vegetation_h10-20_d3_OH0-0.5,235,20,0.5,0.5
riparian vegetation_h10-20_d3_OH1-2.5,236,20,0.5,1.8
riparian vegetation_h10-20_d3_OH3-5,237,20,0.5,4
riparian vegetation_h10-20_d3_OH6-8,238,20,0.5,7
riparian vegetation_h10-20_d4_OH0,239,20,0.7,0
riparian vegetation_h10-20_d4_OH0-0.5,240,20,0.7,0.5
riparian vegetation_h10-20_d4_OH1-2.5,241,20,0.7,1.8
riparian vegetation_h10-20_d4_OH3-5,242,20,0.7,4
riparian vegetation_h10-20_d4_OH6-8,243,20,0.7,7
riparian vegetation_h10-20_d5_OH0,244,20,0.9,0
riparian vegetation_h10-20_d5_OH0-0.5,245,20,0.9,0.5
riparian vegetation_h10-20_d5_OH1-2.5,246,20,0.9,1.8
riparian vegetation_h10-20_d5_OH3-5,247,20,0.9,4
riparian vegetation_h10-20_d5_OH6-8,248,20,0.9,7
riparian vegetation_h1-2_d5_OH0,249,6.5,0.9,0
riparian vegetation_h20-30_d1_OH0,250,30,0.03,0
riparian vegetation_h20-30_d2_OH0,251,30,0.2,0
riparian vegetation_h20-30_d2_OH1-2.5,252,30,0.2,1.8
riparian vegetation_h20-30_d3_OH0,253,30,0.5,0
riparian vegetation_h20-30_d3_OH0-0.5,254,30,0.5,0.5
riparian vegetation_h20-30_d3_OH1-2.5,255,30,0.5,1.8
riparian vegetation_h20-30_d3_OH3-5,256,30,0.5,4
riparian vegetation_h20-30_d4_OH0,257,30,0.7,0
riparian vegetation_h20-30_d4_OH0-0.5,258,30,0.7,0.5
riparian vegetation_h20-30_d4_OH1-2.5,259,30,0.7,1.8
riparian vegetation_h20-30_d4_OH3-5,260,30,0.7,4
riparian vegetation_h20-30_d4_OH6-8,261,30,0.7,7
riparian vegetation_h20-30_d5_OH0,262,30,0.9,0
riparian vegetation_h20-30_d5_OH0-0.5,263,30,0.9,0.5
riparian vegetation_h20-30_d5_OH1-2.5,264,30,0.9,1.8
riparian vegetation_h20-30_d5_OH3-5,265,30,0.9,4
riparian vegetation_h20-30_d5_OH6-8,266,30,0.9,7
riparian vegetation_h5-10_d1_OH0,267,13,0.03,0
riparian vegetation_h5-10_d1_OH0-0.5,268,13,0.03,0.5
riparian vegetation_h5-10_d1_OH1-2.5,269,13,0.03,1.8
riparian vegetation_h5-10_d2_OH0,270,13,0.2,0
riparian vegetation_h5-10_d2_OH0-0.5,271,13,0.2,0.5
riparian vegetation_h5-10_d2_OH1-2.5,272,13,0.2,1.8
riparian vegetation_h5-10_d3_OH0,273,13,0.5,0
riparian vegetation_h5-10_d3_OH0-0.5,274,13,0.5,0.5
riparian vegetation_h5-10_d3_OH1-2.5,275,13,0.5,1.8
riparian vegetation_h5-10_d3_OH3-5,276,13,0.5,4
riparian vegetation_h5-10_d3_OH6-8,277,13,0.5,7
riparian vegetation_h5-10_d4_OH0,278,13,0.7,0
riparian vegetation_h5-10_d4_OH0-0.5,279,13,0.7,0.5
riparian vegetation_h5-10_d4_OH1-2.5,280,13,0.7,1.8
riparian vegetation_h5-10_d4_OH3-5,281,13,0.7,4
riparian vegetation_h5-10_d5_OH0,282,13,0.9,0
riparian vegetation_h5-10_d5_OH1-2.5,283,13,0.9,1.8
riparian vegetation_h5-10_d5_OH3-5,284,13,0.9,4
riparian vegetation_h5-10_d5_OH6-8,285,13,0.9,7
