Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
34,263.00,0.001,25,0.325,0.05,2,0.0064,0.1,0.01,0.45
33.5,262.00,0.001,25,0.325,0.05,2,0.0064,0.1,0.01,0.45
33,261.00,0.001,25,0.325,0.05,2,0.0064,0.1,0.01,0.45
32.5,261.00,0.001,6.5,0.5,0.04,2,0.0064,0.1,0.01,0.35
32,260.00,0.001,10,0.15,0.04,2,0.0064,0.1,0.01,0.35
31.5,259.00,0.001,10,0.15,0.04,2,0.0064,0.1,0.01,0.35
31,258.00,0.001,4,0.15,0.04,2,0.0064,0.1,0.01,0.4
30.5,258.00,0.001,4,0.15,0.04,2,0.0064,0.1,0.01,0.4
30,257.00,0.001,4,0.15,0.04,2,0.0064,0.1,0.01,0.4
29.5,256.00,0.001,4,0.15,0.04,2,0.0064,0.1,0.01,0.4
29,256.00,0.001,4,0.15,0.04,2,0.0064,0.1,0.01,0.4
28.5,254.00,0.001,5,0.15,0.04,2,0.0064,0.1,0.01,0.35
28,254.00,0.001,9,0.15,0.1,2,0.0064,0.1,0.01,0.35
27.5,253.00,0.001,7.5,0.5,0.04,2,0.0064,0.1,0.01,0.35
27,252.00,0.001,7.5,0.5,0.04,2,0.0064,0.1,0.01,0.35
26.5,251.00,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.4
26,251.00,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.4
25.5,251.00,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.4
25,250.00,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.4
24.5,250.00,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.4
24,249.00,0.001,7,0.75,0.04,2,0.0064,0.1,0.01,0.45
23.5,249.00,0.001,7,0.75,0.04,2,0.0064,0.1,0.01,0.45
23,249.00,0.001,7,0.75,0.04,2,0.0064,0.1,0.01,0.45
22.5,249.00,0.001,7,0.75,0.04,2,0.0064,0.1,0.01,0.45
22,247.00,0.001,7,0.75,0.04,2,0.0064,0.1,0.01,0.45
21.5,247.00,0.001,7,0.75,0.04,2,0.0064,0.1,0.01,0.45
21,246.00,0.001,6,0.5,0.05,2,0.0064,0.1,0.01,0.45
20.5,246.00,0.001,6,0.5,0.05,2,0.0064,0.1,0.01,0.45
20,245.00,0.001,6,0.5,0.05,2,0.0064,0.1,0.01,0.45
19.5,245.00,0.001,6,0.5,0.05,2,0.0064,0.1,0.01,0.45
19,244.00,0.001,6,0.5,0.05,2,0.0064,0.1,0.01,0.45
18.5,244.00,0.001,9,0.15,0.05,2,0.0064,0.1,0.01,0.4
18,241.00,0.01,2,0.5,1,2,0.0064,0.1,0.01,0.5
17.5,241.00,0.001,2,0.5,1,2,0.0064,0.1,0.01,0.5
17,240.00,0.001,9,0.15,0.03,2,0.0064,0.1,0.01,0.45
16.5,238.00,0.001,8,0.15,0.05,2,0.0064,0.1,0.01,0.45
16,238.00,0.001,8,0.15,0.05,2,0.0064,0.1,0.01,0.45
15.5,237.00,0.001,8,0.15,0.05,2,0.0064,0.1,0.01,0.45
15,236.00,0.001,8,0.15,0.05,2,0.0064,0.1,0.01,0.45
14.5,236.00,0.001,8,0.15,0.05,2,0.0064,0.1,0.01,0.45
14,235.00,0.001,8,0.325,0.04,2,0.0064,0.1,0.01,0.45
13.5,234.00,0.001,12,0.325,0.1,2,0.0064,0.1,0.01,0.5
13,234.00,0.001,10,0.75,0.035,2,0.0064,0.1,0.01,0.4
12.5,234.00,0.001,10,1,0.1,2,0.0064,0.1,0.01,0.4
12,233.00,0.001,10,1,0.1,2,0.0064,0.1,0.01,0.4
11.5,230.00,0.01,10,1,0.1,2,0.0064,0.1,0.01,0.4
11,231.00,0.001,10,1,0.1,2,0.0064,0.1,0.01,0.4
10.5,229.00,0.001,23,0.5,0.1,2,0.0064,0.1,0.01,0.45
10,228.00,0.001,23,0.5,0.1,2,0.0064,0.1,0.01,0.45
9.5,229.00,0.001,23,0.5,0.1,2,0.0064,0.1,0.01,0.45
9,229.00,0.001,23,0.5,0.1,2,0.0064,0.1,0.01,0.45
8.5,228.00,0.001,23,0.5,0.1,2,0.0064,0.1,0.01,0.45
8,226.00,0.001,23,0.5,0.1,2,0.0064,0.1,0.01,0.45
7.5,225.00,0.001,25,0.5,0.1,2,0.0064,0.1,0.01,0.35
7,225.00,0.001,25,0.5,0.1,2,0.0064,0.1,0.01,0.35
6.5,224.00,0.001,25,0.5,0.1,2,0.0064,0.1,0.01,0.4
6,224.00,0.001,25,0.5,0.1,2,0.0064,0.1,0.01,0.4
5.5,224.00,0.001,25,0.5,0.1,2,0.0064,0.1,0.01,0.4
5,224.00,0.001,25,0.5,0.1,2,0.0064,0.1,0.01,0.4
4.5,220.00,0.01,25,0.5,0.1,2,0.0064,0.1,0.01,0.4
4,219.00,0.001,25,0.5,0.1,2,0.0064,0.1,0.01,0.4
3.5,219.00,0.001,25,0.5,0.1,2,0.0064,0.1,0.01,0.4
3,218.00,0.001,20,0.5,0.1,2,0.0064,0.1,0.01,0.4
2.5,217.00,0.001,20,0.5,0.1,2,0.0064,0.1,0.01,0.4
2,217.00,0.001,20,0.5,0.1,2,0.0064,0.1,0.01,0.4
1.5,216.00,0.001,20,0.5,0.1,2,0.0064,0.1,0.01,0.4
1,216.00,0.001,20,0.5,0.1,2,0.0064,0.1,0.01,0.4
0.5,215.00,0.001,20,0.5,0.1,2,0.0064,0.1,0.01,0.4
0,214.00,0.001,20,0.5,0.1,2,0.0064,0.1,0.01,0.4
