Land Cover Name,Code,Height (m),Density (0-1),Overhang (m)
riparian vegetation_h0-5_d1_OH0,215,0,0,0
riparian vegetation_h0-5_d1_OH0-0.5,216,0,0,0
riparian vegetation_h0-5_d1_OH1-2.5,217,0,0,0
riparian vegetation_h0-5_d2_OH0,218,0,0,0
riparian vegetation_h0-5_d2_OH0-0.5,219,0,0,0
riparian vegetation_h0-5_d2_OH1-2.5,220,0,0,0
riparian vegetation_h0-5_d3_OH0,221,0,0,0
riparian vegetation_h0-5_d3_OH0-0.5,222,0,0,0
riparian vegetation_h0-5_d3_OH1-2.5,223,0,0,0
riparian vegetation_h0-5_d4_OH0,224,0,0,0
riparian vegetation_h0-5_d4_OH0-0.5,225,0,0,0
riparian vegetation_h0-5_d4_OH1-2.5,226,0,0,0
riparian vegetation_h0-5_d5_OH0,227,0,0,0
riparian vegetation_h0-5_d5_OH0-0.5,228,0,0,0
riparian vegetation_h0-5_d5_OH1-2.5,229,0,0,0
riparian vegetation_h10-20_d1_OH0,230,0,0,0
riparian vegetation_h10-20_d2_OH0,231,0,0,0
riparian vegetation_h10-20_d2_OH0-0.5,232,0,0,0
riparian vegetation_h10-20_d2_OH1-2.5,233,0,0,0
riparian vegetation_h10-20_d3_OH0,234,0,0,0
riparian vegetation_h10-20_d3_OH0-0.5,235,0,0,0
riparian vegetation_h10-20_d3_OH1-2.5,236,0,0,0
riparian vegetation_h10-20_d3_OH3-5,237,0,0,0
riparian vegetation_h10-20_d3_OH6-8,238,0,0,0
riparian vegetation_h10-20_d4_OH0,239,0,0,0
riparian vegetation_h10-20_d4_OH0-0.5,240,0,0,0
riparian vegetation_h10-20_d4_OH1-2.5,241,0,0,0
riparian vegetation_h10-20_d4_OH3-5,242,0,0,0
riparian vegetation_h10-20_d4_OH6-8,243,0,0,0
riparian vegetation_h10-20_d5_OH0,244,0,0,0
riparian vegetation_h10-20_d5_OH0-0.5,245,0,0,0
riparian vegetation_h10-20_d5_OH1-2.5,246,0,0,0
riparian vegetation_h10-20_d5_OH3-5,247,0,0,0
riparian vegetation_h10-20_d5_OH6-8,248,0,0,0
riparian vegetation_h1-2_d5_OH0,249,0,0,0
riparian vegetation_h20-30_d1_OH0,250,0,0,0
riparian vegetation_h20-30_d2_OH0,251,0,0,0
riparian vegetation_h20-30_d2_OH1-2.5,252,0,0,0
riparian vegetation_h20-30_d3_OH0,253,0,0,0
riparian vegetation_h20-30_d3_OH0-0.5,254,0,0,0
riparian vegetation_h20-30_d3_OH1-2.5,255,0,0,0
riparian vegetation_h20-30_d3_OH3-5,256,0,0,0
riparian vegetation_h20-30_d4_OH0,257,0,0,0
riparian vegetation_h20-30_d4_OH0-0.5,258,0,0,0
riparian vegetation_h20-30_d4_OH1-2.5,259,0,0,0
riparian vegetation_h20-30_d4_OH3-5,260,0,0,0
riparian vegetation_h20-30_d4_OH6-8,261,0,0,0
riparian vegetation_h20-30_d5_OH0,262,0,0,0
riparian vegetation_h20-30_d5_OH0-0.5,263,0,0,0
riparian vegetation_h20-30_d5_OH1-2.5,264,0,0,0
riparian vegetation_h20-30_d5_OH3-5,265,0,0,0
riparian vegetation_h20-30_d5_OH6-8,266,0,0,0
riparian vegetation_h5-10_d1_OH0,267,0,0,0
riparian vegetation_h5-10_d1_OH0-0.5,268,0,0,0
riparian vegetation_h5-10_d1_OH1-2.5,269,0,0,0
riparian vegetation_h5-10_d2_OH0,270,0,0,0
riparian vegetation_h5-10_d2_OH0-0.5,271,0,0,0
riparian vegetation_h5-10_d2_OH1-2.5,272,0,0,0
riparian vegetation_h5-10_d3_OH0,273,0,0,0
riparian vegetation_h5-10_d3_OH0-0.5,274,0,0,0
riparian vegetation_h5-10_d3_OH1-2.5,275,0,0,0
riparian vegetation_h5-10_d3_OH3-5,276,0,0,0
riparian vegetation_h5-10_d3_OH6-8,277,0,0,0
riparian vegetation_h5-10_d4_OH0,278,0,0,0
riparian vegetation_h5-10_d4_OH0-0.5,279,0,0,0
riparian vegetation_h5-10_d4_OH1-2.5,280,0,0,0
riparian vegetation_h5-10_d4_OH3-5,281,0,0,0
riparian vegetation_h5-10_d5_OH0,282,0,0,0
riparian vegetation_h5-10_d5_OH1-2.5,283,0,0,0
riparian vegetation_h5-10_d5_OH3-5,284,0,0,0
riparian vegetation_h5-10_d5_OH6-8,285,0,0,0
