Land Cover Name,Code,Height (m),Density (0-1),Overhang (m)
garden_leisure_h5-10_d1_OH0,205,3,0.01,0
garden_leisure_h5-10_d2_OH0,206,3,0.02,0
garden_leisure_h5-10_d2_OH0-0.5,207,3,0.02,0.5
garden_leisure_h5-10_d2_OH1-2.5,208,3,0.02,1.8
garden_leisure_h5-10_d3_OH0,209,3,0.03,0
garden_leisure_h5-10_d4_OH0,210,3,0.04,0
garden_leisure_h5-10_d4_OH0-0.5,211,3,0.04,0.5
garden_leisure_h5-10_d5_OH0,212,3,0.05,0
riparian vegetation_h>2_d5_OH0,213,0,0.9,0
riparian vegetation_h0-1_d5_OH0,214,0,0.9,0
riparian vegetation_h0-5_d1_OH0,215,0,0.03,0
riparian vegetation_h0-5_d1_OH0-0.5,216,0,0.03,0.5
riparian vegetation_h0-5_d1_OH1-2.5,217,0,0.03,1.8
riparian vegetation_h0-5_d2_OH0,218,0,0.2,0
riparian vegetation_h0-5_d2_OH0-0.5,219,0,0.2,0.5
riparian vegetation_h0-5_d2_OH1-2.5,220,0,0.2,1.8
riparian vegetation_h0-5_d3_OH0,221,0,0.5,0
riparian vegetation_h0-5_d3_OH0-0.5,222,0,0.5,0.5
riparian vegetation_h0-5_d3_OH1-2.5,223,0,0.5,1.8
riparian vegetation_h0-5_d4_OH0,224,0,0.7,0
riparian vegetation_h0-5_d4_OH0-0.5,225,0,0.7,0.5
riparian vegetation_h0-5_d4_OH1-2.5,226,0,0.7,1.8
riparian vegetation_h0-5_d5_OH0,227,0,0.9,0
riparian vegetation_h0-5_d5_OH0-0.5,228,0,0.9,0.5
riparian vegetation_h0-5_d5_OH1-2.5,229,0,0.9,1.8
riparian vegetation_h10-20_d1_OH0,230,10,0.03,0
riparian vegetation_h10-20_d2_OH0,231,10,0.2,0
riparian vegetation_h10-20_d2_OH0-0.5,232,10,0.2,0.5
riparian vegetation_h10-20_d2_OH1-2.5,233,10,0.2,1.8
riparian vegetation_h10-20_d3_OH0,234,10,0.5,0
riparian vegetation_h10-20_d3_OH0-0.5,235,10,0.5,0.5
riparian vegetation_h10-20_d3_OH1-2.5,236,10,0.5,1.8
riparian vegetation_h10-20_d3_OH3-5,237,10,0.5,4
riparian vegetation_h10-20_d3_OH6-8,238,10,0.5,7
riparian vegetation_h10-20_d4_OH0,239,10,0.7,0
riparian vegetation_h10-20_d4_OH0-0.5,240,10,0.7,0.5
riparian vegetation_h10-20_d4_OH1-2.5,241,10,0.7,1.8
riparian vegetation_h10-20_d4_OH3-5,242,10,0.7,4
riparian vegetation_h10-20_d4_OH6-8,243,10,0.7,7
riparian vegetation_h10-20_d5_OH0,244,10,0.9,0
riparian vegetation_h10-20_d5_OH0-0.5,245,10,0.9,0.5
riparian vegetation_h10-20_d5_OH1-2.5,246,10,0.9,1.8
riparian vegetation_h10-20_d5_OH3-5,247,10,0.9,4
riparian vegetation_h10-20_d5_OH6-8,248,10,0.9,7
riparian vegetation_h1-2_d5_OH0,249,0,0.9,0
riparian vegetation_h20-30_d1_OH0,250,20,0.03,0
riparian vegetation_h20-30_d2_OH0,251,20,0.2,0
riparian vegetation_h20-30_d2_OH1-2.5,252,20,0.2,1.8
riparian vegetation_h20-30_d3_OH0,253,20,0.5,0
riparian vegetation_h20-30_d3_OH0-0.5,254,20,0.5,0.5
riparian vegetation_h20-30_d3_OH1-2.5,255,20,0.5,1.8
riparian vegetation_h20-30_d3_OH3-5,256,20,0.5,4
riparian vegetation_h20-30_d4_OH0,257,20,0.7,0
riparian vegetation_h20-30_d4_OH0-0.5,258,20,0.7,0.5
riparian vegetation_h20-30_d4_OH1-2.5,259,20,0.7,1.8
riparian vegetation_h20-30_d4_OH3-5,260,20,0.7,4
riparian vegetation_h20-30_d4_OH6-8,261,20,0.7,7
riparian vegetation_h20-30_d5_OH0,262,20,0.9,0
riparian vegetation_h20-30_d5_OH0-0.5,263,20,0.9,0.5
riparian vegetation_h20-30_d5_OH1-2.5,264,20,0.9,1.8
riparian vegetation_h20-30_d5_OH3-5,265,20,0.9,4
riparian vegetation_h20-30_d5_OH6-8,266,20,0.9,7
riparian vegetation_h5-10_d1_OH0,267,3,0.03,0
riparian vegetation_h5-10_d1_OH0-0.5,268,3,0.03,0.5
riparian vegetation_h5-10_d1_OH1-2.5,269,3,0.03,1.8
riparian vegetation_h5-10_d2_OH0,270,3,0.2,0
riparian vegetation_h5-10_d2_OH0-0.5,271,3,0.2,0.5
riparian vegetation_h5-10_d2_OH1-2.5,272,3,0.2,1.8
riparian vegetation_h5-10_d3_OH0,273,3,0.5,0
riparian vegetation_h5-10_d3_OH0-0.5,274,3,0.5,0.5
riparian vegetation_h5-10_d3_OH1-2.5,275,3,0.5,1.8
riparian vegetation_h5-10_d3_OH3-5,276,3,0.5,4
riparian vegetation_h5-10_d3_OH6-8,277,3,0.5,7
riparian vegetation_h5-10_d4_OH0,278,3,0.7,0
riparian vegetation_h5-10_d4_OH0-0.5,279,3,0.7,0.5
riparian vegetation_h5-10_d4_OH1-2.5,280,3,0.7,1.8
riparian vegetation_h5-10_d4_OH3-5,281,3,0.7,4
riparian vegetation_h5-10_d5_OH0,282,3,0.9,0
riparian vegetation_h5-10_d5_OH1-2.5,283,3,0.9,1.8
riparian vegetation_h5-10_d5_OH3-5,284,3,0.9,4
riparian vegetation_h5-10_d5_OH6-8,285,3,0.9,7
